"presetKey","presetKey0","presetKey1","presetKey2","keyName","nameEn","nameTransl","nameTranslLength","nameTranslWarnings","duplicateTranslation","notTranslatedName","termsEn","termsTransl","termsTranslLength","termsTranslWarnings","icon","suggestion","fields","searchable","matchScore","tags0","tags1","tags2","tags3","tags4","tagsLength","addTags0","addTags1","addTags2","addTags3","addTags4","addTagsLength","removeTags0","removeTags1","removeTags2","removeTags3","removeTags4","removeTagsLength","geometryArea","geometryLine","geometryPoint","geometryVertex","geometryRelation","endRec"
"amenity/clinic","amenity","clinic"," ","Clinic","Clinic"," ",0," "," ","notTranslated","medical,urgentcare"," ",0," ","hospital"," ","address,building_area,opening_hours"," "," ","amenity=clinic"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/clock","amenity","clock"," ","Clock","Clock"," ",0," "," ","notTranslated",""," ",0," "," "," "," "," "," ","amenity=clock"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0," "," ","point","vertex"," ","last"
"amenity/college","amenity","college"," ","College Grounds","College Grounds"," ",0," "," ","notTranslated","university"," ",0," ","college"," ","operator,address"," "," ","amenity=college"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/community_centre","amenity","community_centre"," ","Community Center","Community Center"," ",0," "," ","notTranslated","event,hall"," ",0," ","town-hall"," ","operator,address,building_area"," "," ","amenity=community_centre"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/compressed_air","amenity","compressed_air"," ","Compressed Air","Compressed Air"," ",0," "," ","notTranslated",""," ",0," ","car"," "," "," "," ","amenity=compressed_air"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/courthouse","amenity","courthouse"," ","Courthouse","Courthouse","法院",2," "," "," ",""," ",0," ","town-hall"," ","operator,address,building_area"," "," ","amenity=courthouse"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/dentist","amenity","dentist"," ","Dentist","Dentist"," ",0," "," ","notTranslated","tooth,teeth"," ",0," ","hospital"," ","address,building_area,opening_hours"," "," ","amenity=dentist"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/doctor","amenity","doctor"," ","Doctor","Doctor"," ",0," "," ","notTranslated","medic*"," ",0," ","hospital"," ","address,building_area,opening_hours"," "," ","amenity=doctors"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/dojo","amenity","dojo"," ","Dojo / Martial Arts Academy","Dojo / Martial Arts Academy"," ",0," "," ","notTranslated","martial arts,dojang"," ",0," ","pitch"," ","sport,address,building_area,opening_hours"," "," ","amenity=dojo"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0,"area"," ","point"," "," ","last"
"amenity/drinking_water","amenity","drinking_water"," ","Drinking Water","Drinking Water"," ",0," "," ","notTranslated","fountain,potable"," ",0," ","water"," "," "," "," ","amenity=drinking_water"," "," "," "," ",1," "," "," "," "," ",0," "," "," "," "," ",0," "," ","point"," "," ","last"
